hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper
19930,HIP19930,64.136250,36.501667,25.5000,K2,-10.1537,0,E17
19990,HIP19990,64.315417,20.578333,28.6000,A3m,-21.0331,0,E17
20219,HIP20219,64.990417,14.035000,44.8000,F3V...,-24.7989,0,E17
20261,HIP20261,65.151250,15.095278,47.1000,F0V,-24.0052,0,E17
20542,HIP20542,66.024167,17.443889,44.7000,A7V,-21.8596,0,E17
20635,HIP20635,66.342500,22.293611,47.0000,A7IV-V,-18.4835,0,E17
20641,HIP20641,66.354167,22.199722,44.1000,A7V,-18.5370,0,E17
20648,HIP20648,66.372500,17.927778,45.3000,A2IV,-21.2948,0,E17
20713,HIP20713,66.586250,15.618056,47.9000,F0V...,-22.6032,0,E17
20842,HIP20842,67.003333,21.619722,47.9000,Am,-18.4594,0,E17
20901,HIP20901,67.209167,13.047500,49.1000,A7V,-23.7273,0,E17
20917,HIP20917,67.250417,21.922500,11.4000,K7V,-18.0884,0,E17
21029,HIP21029,67.640000,16.193889,44.3000,A6IV,-21.4526,0,E17
21036,HIP21036,67.655833,13.724167,45.7000,F0V,-22.9691,0,E17
21039,HIP21039,67.662083,15.691667,44.3000,Am,-21.7490,0,E17
21223,HIP21223,68.288750,-36.945833,25.0000,K4V,-42.6619,0,E17
21248,HIP21248,68.377500,-29.766389,38.1000,K0III,-41.5875,0,E17
21272,HIP21272,68.460000,5.385000,26.7000,K0,-27.2449,0,E17
21273,HIP21273,68.462083,14.844167,46.7000,A8V,-21.6652,0,E17
21284,HIP21284,68.505000,-43.524444,22.4000,K5V,-42.7014,0,E17
21402,HIP21402,68.913750,10.160556,46.1000,A5m,-24.1259,0,E17
21421,HIP21421,68.980000,16.509167,19.9000,K5III,-20.2485,1,E17
21482,HIP21482,69.200833,27.131944,17.8000,K2,-13.3585,0,E17
21547,HIP21547,69.400417,-2.473333,29.7000,F0V,-30.6577,1,E17
21553,HIP21553,69.420417,52.893611,10.1000,K8V,3.8866,0,E17
21556,HIP21556,69.424583,-11.038611,11.0000,M1,-34.6532,0,E17
